X,Y,u (mm) @ t=0,v (mm) @ t=0,w (mm) @ t=0,t (s) @ t=0,u (mm) @ t=0.1,v (mm) @ t=0.1,w (mm) @ t=0.1,t (s) @ t=0.1,u (mm) @ t=0.2,v (mm) @ t=0.2,w (mm) @ t=0.2,t (s) @ t=0.2,u (mm) @ t=0.3,v (mm) @ t=0.3,w (mm) @ t=0.3,t (s) @ t=0.3,u (mm) @ t=0.4,v (mm) @ t=0.4,w (mm) @ t=0.4,t (s) @ t=0.4,u (mm) @ t=0.5,v (mm) @ t=0.5,w (mm) @ t=0.5,t (s) @ t=0.5,u (mm) @ t=0.6,v (mm) @ t=0.6,w (mm) @ t=0.6,t (s) @ t=0.6,u (mm) @ t=0.7,v (mm) @ t=0.7,w (mm) @ t=0.7,t (s) @ t=0.7,u (mm) @ t=0.8,v (mm) @ t=0.8,w (mm) @ t=0.8,t (s) @ t=0.8,u (mm) @ t=0.9,v (mm) @ t=0.9,w (mm) @ t=0.9,t (s) @ t=0.9,u (mm) @ t=1,v (mm) @ t=1,w (mm) @ t=1,t (s) @ t=1
-0.6,-7.375,6.02E-10,4.31E-09,0,0,5.43E-05,4.04E-04,0,0.1,1.09E-04,8.08E-04,0,0.2,1.63E-04,0.001211323,0,0.3,2.17E-04,0.001615097,0,0.4,2.72E-04,0.002018871,0,0.5,3.26E-04,0.002422645,0,0.6,3.80E-04,0.00282642,0,0.7,4.35E-04,0.003230194,0,0.8,4.89E-04,0.003633968,0,0.9,5.43E-04,0.004037742,0,1
-0.2,-7.75,1.89E-10,3.67E-09,0,0,1.74E-05,3.46E-04,0,0.1,3.47E-05,6.91E-04,0,0.2,5.21E-05,0.00103696,0,0.3,6.95E-05,0.001382613,0,0.4,8.68E-05,0.001728266,0,0.5,1.04E-04,0.002073919,0,0.6,1.22E-04,0.002419572,0,0.7,1.39E-04,0.002765225,0,0.8,1.56E-04,0.003110879,0,0.9,1.74E-04,0.003456532,0,1
0.2,-8.125,-1.78E-10,3.00E-09,0,0,-1.66E-05,2.85E-04,0,0.1,-3.32E-05,5.69E-04,0,0.2,-4.98E-05,8.54E-04,0,0.3,-6.64E-05,0.001138186,0,0.4,-8.30E-05,0.001422733,0,0.5,-9.96E-05,0.001707279,0,0.6,-1.16E-04,0.001991826,0,0.7,-1.33E-04,0.002276372,0,0.8,-1.49E-04,0.002560919,0,0.9,-1.66E-04,0.002845465,0,1
0.6,-8.5,-5.11E-10,2.38E-09,0,0,-4.83E-05,2.26E-04,0,0.1,-9.66E-05,4.52E-04,0,0.2,-1.45E-04,6.78E-04,0,0.3,-1.93E-04,9.04E-04,0,0.4,-2.42E-04,0.001130446,0,0.5,-2.90E-04,0.001356535,0,0.6,-3.38E-04,0.001582624,0,0.7,-3.87E-04,0.001808713,0,0.8,-4.35E-04,0.002034802,0,0.9,-4.83E-04,0.002260891,0,1
1,-8.875,-8.15E-10,1.81E-09,0,0,-7.75E-05,1.72E-04,0,0.1,-1.55E-04,3.44E-04,0,0.2,-2.32E-04,5.15E-04,0,0.3,-3.10E-04,6.87E-04,0,0.4,-3.87E-04,8.59E-04,0,0.5,-4.65E-04,0.001030966,0,0.6,-5.42E-04,0.001202794,0,0.7,-6.20E-04,0.001374622,0,0.8,-6.97E-04,0.00154645,0,0.9,-7.75E-04,0.001718277,0,1
-1,-7,9.88E-10,4.82E-09,0,0,8.76E-05,4.48E-04,0,0.1,1.75E-04,8.96E-04,0,0.2,2.63E-04,0.001343684,0,0.3,3.50E-04,0.001791579,0,0.4,4.38E-04,0.002239473,0,0.5,5.25E-04,0.002687368,0,0.6,6.13E-04,0.003135263,0,0.7,7.01E-04,0.003583157,0,0.8,7.88E-04,0.004031052,0,0.9,8.76E-04,0.004478947,0,1
-0.6,-7,6.55E-10,4.99E-09,0,0,5.81E-05,4.65E-04,0,0.1,1.16E-04,9.29E-04,0,0.2,1.74E-04,0.001393793,0,0.3,2.32E-04,0.001858391,0,0.4,2.90E-04,0.002322988,0,0.5,3.49E-04,0.002787586,0,0.6,4.07E-04,0.003252183,0,0.7,4.65E-04,0.003716781,0,0.8,5.23E-04,0.004181379,0,0.9,5.81E-04,0.004645976,0,1
-0.2,-7.375,2.08E-10,4.36E-09,0,0,1.88E-05,4.09E-04,0,0.1,3.75E-05,8.17E-04,0,0.2,5.63E-05,0.001225842,0,0.3,7.50E-05,0.001634456,0,0.4,9.38E-05,0.00204307,0,0.5,1.13E-04,0.002451685,0,0.6,1.31E-04,0.002860299,0,0.7,1.50E-04,0.003268913,0,0.8,1.69E-04,0.003677527,0,0.9,1.88E-04,0.004086141,0,1
0.2,-7.75,-1.89E-10,3.67E-09,0,0,-1.74E-05,3.46E-04,0,0.1,-3.47E-05,6.91E-04,0,0.2,-5.21E-05,0.00103696,0,0.3,-6.95E-05,0.001382613,0,0.4,-8.68E-05,0.001728266,0,0.5,-1.04E-04,0.002073919,0,0.6,-1.22E-04,0.002419572,0,0.7,-1.39E-04,0.002765225,0,0.8,-1.56E-04,0.003110879,0,0.9,-1.74E-04,0.003456532,0,1
0.6,-8.125,-5.25E-10,3.02E-09,0,0,-4.90E-05,2.85E-04,0,0.1,-9.80E-05,5.70E-04,0,0.2,-1.47E-04,8.56E-04,0,0.3,-1.96E-04,0.001140755,0,0.4,-2.45E-04,0.001425944,0,0.5,-2.94E-04,0.001711133,0,0.6,-3.43E-04,0.001996321,0,0.7,-3.92E-04,0.00228151,0,0.8,-4.41E-04,0.002566699,0,0.9,-4.90E-04,0.002851888,0,1
1,-8.5,-8.38E-10,2.41E-09,0,0,-7.90E-05,2.28E-04,0,0.1,-1.58E-04,4.57E-04,0,0.2,-2.37E-04,6.85E-04,0,0.3,-3.16E-04,9.14E-04,0,0.4,-3.95E-04,0.001142001,0,0.5,-4.74E-04,0.001370401,0,0.6,-5.53E-04,0.001598801,0,0.7,-6.32E-04,0.001827202,0,0.8,-7.11E-04,0.002055602,0,0.9,-7.90E-04,0.002284002,0,1
-0.916666667,-6.666666667,9.45E-10,5.34E-09,0,0,8.23E-05,4.94E-04,0,0.1,1.65E-04,9.89E-04,0,0.2,2.47E-04,0.001482804,0,0.3,3.29E-04,0.001977072,0,0.4,4.12E-04,0.00247134,0,0.5,4.94E-04,0.002965607,0,0.6,5.76E-04,0.003459875,0,0.7,6.58E-04,0.003954143,0,0.8,7.41E-04,0.004448411,0,0.9,8.23E-04,0.004942679,0,1
-0.55,-6.666666667,6.20E-10,5.66E-09,0,0,5.39E-05,5.23E-04,0,0.1,1.08E-04,0.001046451,0,0.2,1.62E-04,0.001569676,0,0.3,2.16E-04,0.002092902,0,0.4,2.70E-04,0.002616127,0,0.5,3.24E-04,0.003139352,0,0.6,3.77E-04,0.003662578,0,0.7,4.31E-04,0.004185803,0,0.8,4.85E-04,0.004709029,0,0.9,5.39E-04,0.005232254,0,1
-0.2,-7,2.25E-10,5.10E-09,0,0,1.99E-05,4.75E-04,0,0.1,3.98E-05,9.49E-04,0,0.2,5.97E-05,0.001424117,0,0.3,7.96E-05,0.001898823,0,0.4,9.95E-05,0.002373529,0,0.5,1.19E-04,0.002848234,0,0.6,1.39E-04,0.00332294,0,0.7,1.59E-04,0.003797646,0,0.8,1.79E-04,0.004272351,0,0.9,1.99E-04,0.004747057,0,1
0.2,-7.375,-2.08E-10,4.36E-09,0,0,-1.88E-05,4.09E-04,0,0.1,-3.75E-05,8.17E-04,0,0.2,-5.63E-05,0.001225842,0,0.3,-7.50E-05,0.001634456,0,0.4,-9.38E-05,0.00204307,0,0.5,-1.13E-04,0.002451685,0,0.6,-1.31E-04,0.002860299,0,0.7,-1.50E-04,0.003268913,0,0.8,-1.69E-04,0.003677527,0,0.9,-1.88E-04,0.004086141,0,1
0.6,-7.75,-5.52E-10,3.66E-09,0,0,-5.08E-05,3.44E-04,0,0.1,-1.02E-04,6.89E-04,0,0.2,-1.52E-04,0.001032861,0,0.3,-2.03E-04,0.001377147,0,0.4,-2.54E-04,0.001721434,0,0.5,-3.05E-04,0.002065721,0,0.6,-3.55E-04,0.002410008,0,0.7,-4.06E-04,0.002754295,0,0.8,-4.57E-04,0.003098582,0,0.9,-5.08E-04,0.003442869,0,1
1,-8.125,-8.58E-10,3.04E-09,0,0,-7.99E-05,2.86E-04,0,0.1,-1.60E-04,5.73E-04,0,0.2,-2.40E-04,8.59E-04,0,0.3,-3.20E-04,0.001145691,0,0.4,-4.00E-04,0.001432113,0,0.5,-4.80E-04,0.001718536,0,0.6,-5.59E-04,0.002004959,0,0.7,-6.39E-04,0.002291381,0,0.8,-7.19E-04,0.002577804,0,0.9,-7.99E-04,0.002864227,0,1
-0.833333333,-6.333333333,9.11E-10,6.04E-09,0,0,7.79E-05,5.55E-04,0,0.1,1.56E-04,0.001110212,0,0.2,2.34E-04,0.001665318,0,0.3,3.11E-04,0.002220424,0,0.4,3.89E-04,0.00277553,0,0.5,4.67E-04,0.003330636,0,0.6,5.45E-04,0.003885742,0,0.7,6.23E-04,0.004440848,0,0.8,7.01E-04,0.004995954,0,0.9,7.79E-04,0.00555106,0,1
-0.5,-6.333333333,5.88E-10,6.39E-09,0,0,5.02E-05,5.86E-04,0,0.1,1.00E-04,0.001172945,0,0.2,1.51E-04,0.001759418,0,0.3,2.01E-04,0.00234589,0,0.4,2.51E-04,0.002932363,0,0.5,3.01E-04,0.003518836,0,0.6,3.51E-04,0.004105308,0,0.7,4.02E-04,0.004691781,0,0.8,4.52E-04,0.005278254,0,0.9,5.02E-04,0.005864726,0,1
-0.183333333,-6.666666667,2.15E-10,5.81E-09,0,0,1.87E-05,5.37E-04,0,0.1,3.75E-05,0.001073312,0,0.2,5.62E-05,0.001609968,0,0.3,7.49E-05,0.002146624,0,0.4,9.37E-05,0.002683279,0,0.5,1.12E-04,0.003219935,0,0.6,1.31E-04,0.003756591,0,0.7,1.50E-04,0.004293247,0,0.8,1.69E-04,0.004829903,0,0.9,1.87E-04,0.005366559,0,1
0.2,-7,-2.25E-10,5.10E-09,0,0,-1.99E-05,4.75E-04,0,0.1,-3.98E-05,9.49E-04,0,0.2,-5.97E-05,0.001424117,0,0.3,-7.96E-05,0.001898823,0,0.4,-9.95E-05,0.002373529,0,0.5,-1.19E-04,0.002848234,0,0.6,-1.39E-04,0.00332294,0,0.7,-1.59E-04,0.003797646,0,0.8,-1.79E-04,0.004272351,0,0.9,-1.99E-04,0.004747057,0,1
0.6,-7.375,-6.02E-10,4.31E-09,0,0,-5.43E-05,4.04E-04,0,0.1,-1.09E-04,8.08E-04,0,0.2,-1.63E-04,0.001211323,0,0.3,-2.17E-04,0.001615097,0,0.4,-2.72E-04,0.002018871,0,0.5,-3.26E-04,0.002422645,0,0.6,-3.80E-04,0.00282642,0,0.7,-4.35E-04,0.003230194,0,0.8,-4.89E-04,0.003633968,0,0.9,-5.43E-04,0.004037742,0,1
